---
permalink: /projects/the-cost-of-education/brief/data/district-1.csv
---

school,type,district,designation,title_i,grades,adm,math_high,english_high,math_elementary,english_elementary,math_middle,english_middle,spending,spending_difference
Allen Elementary,Elementary,1,,0,PreK-3-5,596,0,0,0.764,0.474,0,0,6677.08,-557.07
Daisy Elementary,Elementary,1,,1,PreK-3-5,496,0,0,0.746,0.451,0,0,6243.48,-990.67
Falling Water Elementary,Elementary,1,,1,Kindergarten-5,195,0,0,0.689,0.482,0,0,8283.34,1049.19
North Hamilton County Elementary,Elementary,1,,1,Kindergarten-5,338,0,0,0.777,0.365,0,0,6659.01,-575.14
Sale Creek Middle-High,Middle,1,,0,Grades 6-12,568,0.689,0.754,0,0,0.43,0.436,7051.05,-183.1
Sale Creek Middle-High,High,1,,0,Grades 6-12,568,0.689,0.754,0,0,0.43,0.436,7051.05,-183.1
Sequoyah High,High,1,iZone,1,Grades 9-12,337,0.371,0.315,0,0,0,0,10253.84,3019.69
Soddy Elementary,Elementary,1,,1,Pre-Kindergarten-5,337,0,0,0.712,0.424,0,0,7986.03,751.88
Soddy-Daisy High,High,1,,0,Grades 9-12,1210,0.73,0.691,0,0,0,0,6850.54,-383.61
Soddy-Daisy Middle,Middle,1,,1,Grades 6-8,502,0,0,0,0,0.474,0.427,7000.33,-233.82
