---
permalink: /projects/the-cost-of-education/brief/data/district-averages.csv
---

district,Far below average (<-10%),Slightly below average,Average,Slightly above average,Far above average (>+10%)
district-1,0.111111111,0.333333333,0.222222222,0.111111111,0.222222222
district-2,0.125,0.25,0.375,0,0.25
district-3,0.375,0.25,0,0.25,0.125
district-4,0,0.230769231,0.153846154,0.384615385,0.230769231
district-5,0,0.285714286,0.285714286,0,0.428571429
district-6,0,0,0.166666667,0.166666667,0.666666667
district-7,0.2,0.4,0.4,0,0
district-8,0.333333333,0.166666667,0.166666667,0.333333333,0
district-9,0.3,0.4,0.2,0.1,0
Hamilton County,0.152777778,0.263888889,0.208333333,0.166666667,0.208333333
